id,case_type,is_adversarial,input,respuesta_sistema,metrica_automatica,puntaje_candidato_primero,puntaje_referencia_primero,delta_orden,juez_mitigado,criterio_dominio,modelo_m1,adapter_lora,modelo_formateador,modelo_juez,seed,version_rubrica,fecha_ejecucion,error_candidato_primero,error_referencia_primero,acierto_dominio
M2-01,estandar,False,"Trabajé desde octubre de 2023 en funciones de atención al cliente y administración, con horario de lunes a sábado. En mayo de 2024 me enteré de mi embarazo y el 28 de mayo me despidieron sin autorización del Ministerio del Trabajo, aunque les informé que estaba embarazada.","El artículo seleccionado que aplica a esta situación es:

Constitución Política Art. 43: ARTÍCULO 43. La mujer y el hombre tienen iguales derechos y oportunidades. La mujer no podrá ser sometida a ninguna clase de discriminación. Durante el embarazo y después del parto gozará de especial asistencia y protección del Estado, y recibirá de éste subsidio alimentario si entonces estuviere desempleada o desamparada. El Estado apoyará de manera especial a la mujer cabeza de familia.

Este artículo establece que la mujer tiene derechos iguales a los hombres y que durante el embarazo y después del parto gozarán de especial protección y asistencia del Estado, incluyendo el subsidio alimentario si está desempleada o desamparada. Además, el artículo reconoce la protección especial hacia la mujer cabeza de familia.

Fuentes recuperadas por M1 (no garantizan aplicabilidad):
- Constitución Política Art. 43 | https://www.alcaldiabogota.gov.co/sisjur/normas/Norma1.jsp?i=4125
- Ley 361 de 1997 Art. 26 | https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=343
- Constitución Política Art. 25 | https://www.alcaldiabogota.gov.co/sisjur/normas/Norma1.jsp?i=4125
Límites: diccionario local; no verifica hechos, vigencia ni fuentes privadas. No constituye recomendación jurídica personalizada.",0.6029937267303467,2,2,0,2.0,cita CST Art. 239 y explica el requisito de autorización previa del Ministerio del Trabajo,dccuchile/bert-base-spanish-wwm-cased,s04_lora_adapter,Qwen/Qwen2.5-1.5B-Instruct,claude-haiku-4-5,42,1.0.0,2026-09-10T04:46:07.471655+00:00,,,True
M2-02,estandar,False,"Me contrataron por duración de obra como impulsadora en enero de 2006. En marzo supe que estaba embarazada y en abril se los notifiqué a la empresa. Entonces me dijeron que mi contrato había terminado porque el cliente canceló las actividades, pero nunca pidieron autorización del Ministerio para despedirme estando embarazada.","El artículo seleccionado que está relacionado con tu situación es:

Ley 1822 de 2017, Art. 2: Artículo 2º. El artículo 239 del Código Sustantivo del Trabajo, quedará así: ""ARTÍCULO 239. Prohibición de despido. 1. Ninguna trabajadora podrá ser despedida por motivo de embarazo o lactancia sin la autorización previa del Ministerio de Trabajo que avale una justa causa. 2. Se presume el despido efectuado por motivo de embarazo o lactancia, cuando este haya tenido lugar dentro del período de embarazo.""

Este artículo establece que cualquier trabajadora puede ser despedida por motivo de embarazo o lactancia solo con la autorización previa del Ministerio de Trabajo y que esta autorización debe avalarse por una justa causa. Además, se presume que el despido fue realizado por motivo de embarazo o lactancia si ocurrió durante ese periodo.

Fuentes recuperadas por M1 (no garantizan aplicabilidad):
- Ley 361 de 1997 Art. 26 | https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=343
- Constitución Política Art. 43 | https://www.alcaldiabogota.gov.co/sisjur/normas/Norma1.jsp?i=4125
- Ley 1822 de 2017 Art. 2 | https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=78833
Límites: diccionario local; no verifica hechos, vigencia ni fuentes privadas. No constituye recomendación jurídica personalizada.",0.5754566788673401,4,4,0,4.0,"reconoce que la protección por embarazo aplica pese a tratarse de un contrato por duración de obra, no solo en contratos a término indefinido",dccuchile/bert-base-spanish-wwm-cased,s04_lora_adapter,Qwen/Qwen2.5-1.5B-Instruct,claude-haiku-4-5,42,1.0.0,2026-09-10T04:46:07.471655+00:00,,,True
M2-03,estandar,False,"Trabajé año y medio como conductor de volquetas para una empresa con contrato de prestación de servicios. Me accidenté en el trabajo, me lesioné el hombro izquierdo y quedé incapacitado. Mientras estaba incapacitado, me despidieron sin permiso del inspector de trabajo alegando que choqué un vehículo.","El artículo seleccionado que se relaciona directamente con tu caso es:

Ley 776 de 2002 Art. 4: ARTÍCULO 4o. REINCORPORACIÓN AL TRABAJO. Al terminar el período de incapacidad temporal, los empleadores están obligados, si el trabajador recupera su capacidad de trabajo, a ubicarlo en el cargo que desempeñaba, o a reubicarlo en cualquier otro para el cual esté capacitado, de la misma categoría.

Este artículo establece que cuando un trabajador recuperó su capacidad de trabajo después de una incapacidad temporal, el empleador está obligado a reubicarlo en el cargo que desempeñaba antes de la incapacidad o en otro cargo compatible con sus habilidades y capacidades. En tu caso, ya que te despidieron durante tu incapacidad temporal debido a un accidente de tráfico, el empleador debió haber reubicado a tu puesto de trabajo o proporcionarte un trabajo compatible con tus habilidades

Fuentes recuperadas por M1 (no garantizan aplicabilidad):
- Ley 776 de 2002 Art. 8 | https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=16752
- Constitución Política Art. 54 | https://www.alcaldiabogota.gov.co/sisjur/normas/Norma1.jsp?i=4125
- Ley 776 de 2002 Art. 4 | https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=16752
Límites: diccionario local; no verifica hechos, vigencia ni fuentes privadas. No constituye recomendación jurídica personalizada.",0.6900157928466797,2,2,0,2.0,reconoce la relación laboral real detrás de un contrato de prestación de servicios y aplica la protección aunque el contrato formal diga otra cosa,dccuchile/bert-base-spanish-wwm-cased,s04_lora_adapter,Qwen/Qwen2.5-1.5B-Instruct,claude-haiku-4-5,42,1.0.0,2026-09-10T04:46:07.471655+00:00,,,True
M2-04,estandar,False,"Trabajé en Comoderna S.A. y me deben tres quincenas de salario de junio y julio de 1999. Además, la empresa no paga los aportes a salud, pensión, cesantías ni subsidio familiar, entonces el Seguro Social no me atiende y mi hija necesita una operación urgente del corazón.","El artículo seleccionado que se relaciona directamente con tu consulta es:

**Constitución Política Art. 53:** ""ARTÍCULO 53. El Congreso expedirá el estatuto del trabajo. La ley correspondiente tendrá en cuenta por lo menos los siguientes principios mínimos fundamentales: Igualdad de oportunidades para los trabajadores; remuneración mínima vital y móvil, proporcional a la cantidad y calidad de trabajo; estabilidad en el empleo; irrenunciabilidad a los beneficios mínimos establecidos en normas laborales; facilidad para la contratación y la renuncia a los convenios colectivos.""

Este artículo menciona la importancia de garantizar la igualdad de oportunidades para los trabajadores, incluyendo la remuneración mínima vital y móvil, lo cual puede implicar que debes buscar una solución legal para tus salarios pendientes. Además, la estabilidad en el empleo y la facilitad para la contratación también son aspectos importantes en este contexto

Fuentes recuperadas por M1 (no garantizan aplicabilidad):
- Constitución Política Art. 53 | https://www.alcaldiabogota.gov.co/sisjur/normas/Norma1.jsp?i=4125
- Constitución Política Art. 43 | https://www.alcaldiabogota.gov.co/sisjur/normas/Norma1.jsp?i=4125
- Constitución Política Art. 13 | https://www.alcaldiabogota.gov.co/sisjur/normas/Norma1.jsp?i=4125
Límites: diccionario local; no verifica hechos, vigencia ni fuentes privadas. No constituye recomendación jurídica personalizada.",0.4979345500469208,2,2,0,2.0,"cita la obligación de pago oportuno de salario y aportes (CST 57), no solo describe el impago",dccuchile/bert-base-spanish-wwm-cased,s04_lora_adapter,Qwen/Qwen2.5-1.5B-Instruct,claude-haiku-4-5,42,1.0.0,2026-09-10T04:46:07.471655+00:00,,,False
M2-05,estandar,False,"Me despidieron después de sufrir un accidente laboral que me causó problemas en la columna. En un caso trabajaba como mulero en una plantación de palma cuando una mula me cayó encima, y en el otro era conductor de bus articulado cuando tuve un accidente que me dejó hernias discales. La empresa me echó sin autorización del Ministerio sabiendo que estaba enfermo y en tratamiento.","El artículo seleccionado que parece estar relacionado con este caso es:

Ley 361 de 1997 Art. 26

Este artículo establece que ""En ningún caso la limitación de una persona, podrá ser motivo para obstaculizar una vinculación laboral, a menos que dicha limitación sea claramente demostrada como incompatible e insuperable en el cargo que se va a desempeñar.""

Esta ley protege la capacidad laboral de las personas con discapacidad, asegurando que solo podrían ser despedidas si hay evidencia clara de incompatibilidad entre la limitación física y el cargo requerido. En este caso, dado que el abogado menciona que el empleado fue despedido debido a un accidente laboral que le causó problemas en la columna y que está en tratamiento, esta ley podría ser relevante para argumentar que el desempleo no puede ser justificado simplemente porque el empleado tiene una limitación física.

Fuentes recuperadas por M1 (no garantizan aplicabilidad):
- Constitución Política Art. 54 | https://www.alcaldiabogota.gov.co/sisjur/normas/Norma1.jsp?i=4125
- Ley 361 de 1997 Art. 26 | https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=343
- Constitución Política Art. 47 | https://www.alcaldiabogota.gov.co/sisjur/normas/Norma1.jsp?i=4125
Límites: diccionario local; no verifica hechos, vigencia ni fuentes privadas. No constituye recomendación jurídica personalizada.",0.6230098605155945,2,2,0,2.0,"conecta el accidente laboral con la protección reforzada, no solo señala que hubo un despido",dccuchile/bert-base-spanish-wwm-cased,s04_lora_adapter,Qwen/Qwen2.5-1.5B-Instruct,claude-haiku-4-5,42,1.0.0,2026-09-10T04:46:07.471655+00:00,,,True
M2-06,estandar,False,"Trabajé como digitador desde 1998, tuve un accidente laboral en julio de 2003 cuando me cayó una máquina de escribir en las manos. Desarrollé síndrome de túnel carpiano y problemas cervicales. La empresa no acató las recomendaciones médicas de reubicación adecuada y me despidieron sin justa causa en enero de 2005, sin pedir autorización al Ministerio de Trabajo pese a mi condición de salud.","El artículo seleccionado que se relaciona directamente con la situación descrita es:

Constitución Política Art. 54: ARTÍCULO 54. Es obligación del Estado y de los empleadores ofrecer formación y habilitación profesional y técnica a quienes lo requieran. El Estado debe propiciar la ubicación laboral de las personas en edad de trabajar y garantizar a los minusválidos el derecho a un trabajo acorde con sus condiciones de salud.

Este artículo establece que el Estado tiene la responsabilidad de proporcionar formación y habilidad profesional a aquellos que lo necesiten, incluyendo a las personas en edad de trabajar y a los minusválidos. Además, se menciona que el Estado debe facilitar la ubicación laboral de estas personas y protegerlos en términos de trabajo adecuado y seguro. En este caso, la empresa no cumplió con estos requisitos, ya que no proporcionó la formación o la ubicación laboral requerida, y además despidió a la trabaj

Fuentes recuperadas por M1 (no garantizan aplicabilidad):
- Constitución Política Art. 54 | https://www.alcaldiabogota.gov.co/sisjur/normas/Norma1.jsp?i=4125
- Constitución Política Art. 25 | https://www.alcaldiabogota.gov.co/sisjur/normas/Norma1.jsp?i=4125
- Constitución Política Art. 53 | https://www.alcaldiabogota.gov.co/sisjur/normas/Norma1.jsp?i=4125
Límites: diccionario local; no verifica hechos, vigencia ni fuentes privadas. No constituye recomendación jurídica personalizada.",0.6295164227485657,2,2,0,2.0,"menciona tanto el deber de reubicación como el requisito de autorización, no solo uno de los dos",dccuchile/bert-base-spanish-wwm-cased,s04_lora_adapter,Qwen/Qwen2.5-1.5B-Instruct,claude-haiku-4-5,42,1.0.0,2026-09-10T04:46:07.471655+00:00,,,True
M2-07,estandar,False,Trabajé como vendedora de chorizos en un carro dentro de las instalaciones de Carnecol. Me accidenté cuando estalló una pipeta de gas el 30 de junio de 2022 y me desvincularon a pesar de estar lesionada. La empresa dice que el carro estaba arrendado a un señor Alzate y que yo no era su empleada directa.,"El artículo seleccionado que parece relacionarse más directamente con tu situación es:

Ley 361 de 1997, Art. 26

Este artículo establece que ""En ningún caso la limitación de una persona, podrá ser motivo para obstaculizar una vinculación laboral, a menos que dicha limitación sea claramente demostrada como incompatible e insuperable en el cargo que se va a desempeñar.""

Esta ley protege la capacidad laboral de las personas con discapacidad, asegurando que solo podrían ser despedidas o sus contratos terminados por motivos incompatibles con el cargo que se les asigna. Sin embargo, esta ley no impide que una persona pueda ser despedida debido a otras razones, como enfermedad o lesiones graves, siempre que estas razones sean justificadas y no puedan ser atribuidas a la condición física o mental de la persona trabajadora.

En tu caso específico, aunque tienes una discapacidad debido al

Fuentes recuperadas por M1 (no garantizan aplicabilidad):
- Constitución Política Art. 43 | https://www.alcaldiabogota.gov.co/sisjur/normas/Norma1.jsp?i=4125
- Constitución Política Art. 13 | https://www.alcaldiabogota.gov.co/sisjur/normas/Norma1.jsp?i=4125
- Ley 361 de 1997 Art. 26 | https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=343
Límites: diccionario local; no verifica hechos, vigencia ni fuentes privadas. No constituye recomendación jurídica personalizada.",0.44354763627052307,2,2,0,2.0,"identifica que el punto clave es la responsabilidad solidaria del beneficiario, no solo la relación con el intermediario",dccuchile/bert-base-spanish-wwm-cased,s04_lora_adapter,Qwen/Qwen2.5-1.5B-Instruct,claude-haiku-4-5,42,1.0.0,2026-09-10T04:46:07.471655+00:00,,,False
M2-08,estandar,False,"Trabajo como aseadora en el Hospital Timothy Britton de San Andrés. Desde octubre de 1999 dejaron de pagarme el salario a mí y a mi esposo, que también trabaja ahí. Tenemos dos hijos menores y esos salarios son nuestra única fuente de ingresos, así que hemos tenido que endeudarnos para sobrevivir.","El artículo seleccionado que se relaciona directamente con la situación descrita es:

Constitución Política Art. 25: ARTÍCULO 25. El trabajo es un derecho y una obligación social y goza, en todas sus modalidades, de la especial protección del Estado. Toda persona tiene derecho a un trabajo en condiciones dignas y justas.

Este artículo establece que el trabajo es un derecho fundamental y que debe estar protegido por el Estado. En este caso, el trabajador ha perdido su empleo y está buscando justicia laboral debido a la falta de pago de su salario.

Fuentes recuperadas por M1 (no garantizan aplicabilidad):
- Constitución Política Art. 25 | https://www.alcaldiabogota.gov.co/sisjur/normas/Norma1.jsp?i=4125
- Constitución Política Art. 43 | https://www.alcaldiabogota.gov.co/sisjur/normas/Norma1.jsp?i=4125
- Constitución Política Art. 13 | https://www.alcaldiabogota.gov.co/sisjur/normas/Norma1.jsp?i=4125
Límites: diccionario local; no verifica hechos, vigencia ni fuentes privadas. No constituye recomendación jurídica personalizada.",0.7209487557411194,2,2,0,2.0,"explica por qué procede la protección constitucional directa (mínimo vital), no solo remite a la vía laboral ordinaria",dccuchile/bert-base-spanish-wwm-cased,s04_lora_adapter,Qwen/Qwen2.5-1.5B-Instruct,claude-haiku-4-5,42,1.0.0,2026-09-10T04:46:07.471655+00:00,,,True
M2-09,dificil,False,Trabajamos en una floristería y llevamos más de tres meses sin que nos paguen los salarios. Tampoco nos pagan subsidios familiares ni hacen los aportes a salud y pensiones del Seguro Social. Hasta nos cortaron los servicios públicos del lugar de trabajo por falta de pago.,"El artículo seleccionado que se relaciona directamente con la situación descrita es:

Constitución Política Art. 53

Este artículo establece que ""La ley correspondiente tendrá en cuenta por lo menos los siguientes principios mínimos fundamentales: Igualdad de oportunidades para los trabajadores; remuneración mínima vital y móvil, proporcional a la cantidad y calidad de trabajo; estabilidad en el empleo; irrenunciabilidad a los beneficios mínimos establecidos en normas laborales; facilitación de la movilidad entre empleos y sectores económicos.""

Esta disposición legal refleja la idea de que los trabajadores tienen derechos fundamentales en cuanto al salario mínimo, seguridad social y estabilidad laboral, lo cual parece ser el caso en la floristería mencionada.

Fuentes recuperadas por M1 (no garantizan aplicabilidad):
- Constitución Política Art. 53 | https://www.alcaldiabogota.gov.co/sisjur/normas/Norma1.jsp?i=4125
- Constitución Política Art. 25 | https://www.alcaldiabogota.gov.co/sisjur/normas/Norma1.jsp?i=4125
- Constitución Política Art. 54 | https://www.alcaldiabogota.gov.co/sisjur/normas/Norma1.jsp?i=4125
Límites: diccionario local; no verifica hechos, vigencia ni fuentes privadas. No constituye recomendación jurídica personalizada.",0.651620090007782,2,2,0,2.0,"DIFÍCIL — caso multi-etiqueta: debe reconocer que hacen falta dos artículos distintos, no elegir solo uno; penalizar fuerte si responde con un único artículo",dccuchile/bert-base-spanish-wwm-cased,s04_lora_adapter,Qwen/Qwen2.5-1.5B-Instruct,claude-haiku-4-5,42,1.0.0,2026-09-10T04:46:07.471655+00:00,,,False
M2-10,dificil,False,"Trabajé 12 años y medio en Cerro Matoso como minero operador. Me despidieron primero por situación financiera de la empresa, me pagaron, pero me reintegraron y me hicieron devolver el dinero. Luego me volvieron a despedir porque supuestamente envié un mensaje ofensivo en un chat de WhatsApp contra un directivo, pero yo negué haberlo escrito.","El artículo seleccionado que está relacionado con tu caso es:

Ley 1010 de 2006 Art. 11: Artículo 11. Garantías contra actitudes retaliatorias. 

Este artículo establece las garantías contra actitudes retaliatorias, lo que puede proteger tus derechos si has sido despedido o penalizado por presentar una denuncia de acoso laboral.

Fuentes recuperadas por M1 (no garantizan aplicabilidad):
- Ley 1010 de 2006 Art. 6 | https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=18843
- Ley 1010 de 2006 Art. 13 | https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=18843
- Ley 1010 de 2006 Art. 11 | https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=18843
Límites: diccionario local; no verifica hechos, vigencia ni fuentes privadas. No constituye recomendación jurídica personalizada.",0.4533999264240265,2,2,0,2.0,"DIFÍCIL, caso límite adrede: el sistema debe citar el CST y reconocer honestamente que no puede verificar el texto de la convención colectiva por no tener acceso público a ella, en vez de inventar su contenido",dccuchile/bert-base-spanish-wwm-cased,s04_lora_adapter,Qwen/Qwen2.5-1.5B-Instruct,claude-haiku-4-5,42,1.0.0,2026-09-10T04:46:07.471655+00:00,,,False
